Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2017-05-02 17:25,Exit Short Trailing,20939,47.7,999124.2,333.9,0.03,333.9,0.03,-47.7,0.00,333.9,0.03
1,Entry short,2017-05-02 17:20,Short,20946,47.7,999124.2,333.9,0.03,333.9,0.03,-47.7,0.00,333.9,0.03
2,Exit short,2017-05-02 18:10,Exit Short Trailing,20943,47.7,999028.8,47.7,0.00,143.1,0.01,-47.7,0.00,381.6,0.04
2,Entry short,2017-05-02 18:05,Short,20944,47.7,999028.8,47.7,0.00,143.1,0.01,-47.7,0.00,381.6,0.04
3,Exit long,2017-05-02 23:35,Exit Long Trailing,20930,47.8,1000215,239,0.02,334.6,0.03,0,0.00,620.6,0.06
3,Entry long,2017-05-02 23:30,Long,20925,47.8,1000215,239,0.02,334.6,0.03,0,0.00,620.6,0.06
4,Exit long,2017-05-03 09:25,Exit Long Trailing,20910,47.8,999450.2,47.8,0.00,143.4,0.01,-47.8,0.00,668.4,0.07
4,Entry long,2017-05-03 09:20,Long,20909,47.8,999450.2,47.8,0.00,143.4,0.01,-47.8,0.00,668.4,0.07
5,Exit long,2017-05-03 09:40,Exit Long Trailing,20911,47.8,999545.8,0,0.00,0,0.00,-143.4,-0.01,668.4,0.07
5,Entry long,2017-05-03 09:35,Long,20911,47.8,999545.8,0,0.00,0,0.00,-143.4,-0.01,668.4,0.07
6,Exit long,2017-05-03 17:55,Exit Long Trailing,20921,47.8,999259,764.8,0.08,764.8,0.08,-95.6,-0.01,1433.2,0.14
6,Entry long,2017-05-03 17:30,Long,20905,47.8,999259,764.8,0.08,764.8,0.08,-95.6,-0.01,1433.2,0.14
7,Exit short,2017-05-03 20:00,Exit Short Trailing,20951,47.7,999887.4,524.7,0.05,810.9,0.08,-95.4,-0.01,1957.9,0.20
7,Entry short,2017-05-03 19:55,Short,20962,47.7,999887.4,524.7,0.05,810.9,0.08,-95.4,-0.01,1957.9,0.20
8,Exit short,2017-05-04 01:45,Exit Short Trailing,20972,47.7,1000173.6,-190.8,-0.02,95.4,0.01,-190.8,-0.02,1767.1,0.18
8,Entry short,2017-05-04 01:25,Short,20968,47.7,1000173.6,-190.8,-0.02,95.4,0.01,-190.8,-0.02,1767.1,0.18
9,Exit short,2017-05-04 02:25,Exit Short Trailing,20969,47.7,1000125.9,-95.4,-0.01,190.8,0.02,-238.5,-0.02,1671.7,0.17
9,Entry short,2017-05-04 02:00,Short,20967,47.7,1000125.9,-95.4,-0.01,190.8,0.02,-238.5,-0.02,1671.7,0.17
10,Exit short,2017-05-04 11:10,Exit Short Trailing,21008,47.6,999933.2,-47.6,0.00,0,0.00,-142.8,-0.01,1624.1,0.16
10,Entry short,2017-05-04 11:05,Short,21007,47.6,999933.2,-47.6,0.00,0,0.00,-142.8,-0.01,1624.1,0.16
11,Exit long,2017-05-04 16:05,Exit Long Trailing,20897,47.8,999928.2,-1051.6,-0.11,239,0.02,-1195,-0.12,572.5,0.06
11,Entry long,2017-05-04 16:00,Long,20919,47.8,999928.2,-1051.6,-0.11,239,0.02,-1195,-0.12,572.5,0.06
12,Exit long,2017-05-04 16:25,Exit Long Trailing,20864,48,1000416,1056,0.11,1248,0.12,-144,-0.01,1628.5,0.16
12,Entry long,2017-05-04 16:20,Long,20842,48,1000416,1056,0.11,1248,0.12,-144,-0.01,1628.5,0.16
13,Exit long,2017-05-04 18:15,Exit Long Trailing,20917,47.8,1000693,-860.4,-0.09,239,0.02,-1003.8,-0.10,768.1,0.08
13,Entry long,2017-05-04 17:50,Long,20935,47.8,1000693,-860.4,-0.09,239,0.02,-1003.8,-0.10,768.1,0.08
14,Exit short,2017-05-05 14:05,Exit Short Trailing,20934,47.8,999928.2,-717,-0.07,334.6,0.03,-717,-0.07,51.1,0.01
14,Entry short,2017-05-05 13:45,Short,20919,47.8,999928.2,-717,-0.07,334.6,0.03,-717,-0.07,51.1,0.01
15,Exit short,2017-05-05 18:05,Exit Short Trailing,20973,47.7,999744.3,-667.8,-0.07,238.5,0.02,-858.6,-0.09,-616.7,-0.06
15,Entry short,2017-05-05 18:00,Short,20959,47.7,999744.3,-667.8,-0.07,238.5,0.02,-858.6,-0.09,-616.7,-0.06
16,Exit short,2017-05-05 18:55,Exit Short Trailing,20967,47.6,998457.6,428.4,0.04,428.4,0.04,0,0.00,-188.3,-0.02
16,Entry short,2017-05-05 18:50,Short,20976,47.6,998457.6,428.4,0.04,428.4,0.04,0,0.00,-188.3,-0.02
17,Exit short,2017-05-05 19:55,Exit Short Trailing,20988,47.6,998886,-142.8,-0.01,47.6,0.00,-190.4,-0.02,-331.1,-0.03
17,Entry short,2017-05-05 19:50,Short,20985,47.6,998886,-142.8,-0.01,47.6,0.00,-190.4,-0.02,-331.1,-0.03
18,Exit short,2017-05-05 20:20,Exit Short Trailing,21014,47.5,998212.5,47.5,0.00,47.5,0.00,0,0.00,-283.6,-0.03
18,Entry short,2017-05-05 20:15,Short,21015,47.5,998212.5,47.5,0.00,47.5,0.00,0,0.00,-283.6,-0.03
19,Exit short,2017-05-07 22:10,Exit Short Trailing,21007,47.5,999400,1567.5,0.16,1567.5,0.16,0,0.00,1283.9,0.13
19,Entry short,2017-05-07 22:05,Short,21040,47.5,999400,1567.5,0.16,1567.5,0.16,0,0.00,1283.9,0.13
20,Exit short,2017-05-07 23:50,Exit Short Trailing,21008,47.6,1000218.8,238,0.02,238,0.02,0,0.00,1521.9,0.15
20,Entry short,2017-05-07 23:45,Short,21013,47.6,1000218.8,238,0.02,238,0.02,0,0.00,1521.9,0.15
21,Exit long,2017-05-08 10:15,Exit Long Trailing,20962,47.7,1000125.9,-238.5,-0.02,190.8,0.02,-286.2,-0.03,1283.4,0.13
21,Entry long,2017-05-08 09:55,Long,20967,47.7,1000125.9,-238.5,-0.02,190.8,0.02,-286.2,-0.03,1283.4,0.13
22,Exit short,2017-05-08 18:15,Exit Short Trailing,20989,47.6,999552.4,476,0.05,476,0.05,0,0.00,1759.4,0.18
22,Entry short,2017-05-08 18:05,Short,20999,47.6,999552.4,476,0.05,476,0.05,0,0.00,1759.4,0.18
23,Exit short,2017-05-09 00:30,Exit Short Trailing,20994,47.7,1001175.3,-238.5,-0.02,333.9,0.03,-238.5,-0.02,1520.9,0.15
23,Entry short,2017-05-09 00:05,Short,20989,47.7,1001175.3,-238.5,-0.02,333.9,0.03,-238.5,-0.02,1520.9,0.15
24,Exit short,2017-05-09 09:50,Exit Short Trailing,21020,47.6,1000409.2,-142.8,-0.01,142.8,0.01,-142.8,-0.01,1378.1,0.14
24,Entry short,2017-05-09 09:35,Short,21017,47.6,1000409.2,-142.8,-0.01,142.8,0.01,-142.8,-0.01,1378.1,0.14
25,Exit short,2017-05-09 10:35,Exit Short Trailing,21017,47.6,1000314,-95.2,-0.01,380.8,0.04,-95.2,-0.01,1282.9,0.13
25,Entry short,2017-05-09 10:10,Short,21015,47.6,1000314,-95.2,-0.01,380.8,0.04,-95.2,-0.01,1282.9,0.13
26,Exit short,2017-05-09 12:00,Exit Short Trailing,21025,47.6,1000456.8,-333.2,-0.03,47.6,0.00,-333.2,-0.03,949.7,0.09
26,Entry short,2017-05-09 11:55,Short,21018,47.6,1000456.8,-333.2,-0.03,47.6,0.00,-333.2,-0.03,949.7,0.09
27,Exit short,2017-05-09 14:00,Exit Short Trailing,21033,47.6,1000314,-856.8,-0.09,333.2,0.03,-856.8,-0.09,92.9,0.01
27,Entry short,2017-05-09 13:40,Short,21015,47.6,1000314,-856.8,-0.09,333.2,0.03,-856.8,-0.09,92.9,0.01
28,Exit short,2017-05-09 15:15,Exit Short Trailing,21002,47.5,998735,1140,0.11,1140,0.11,-95,-0.01,1232.9,0.12
28,Entry short,2017-05-09 14:25,Short,21026,47.5,998735,1140,0.11,1140,0.11,-95,-0.01,1232.9,0.12
29,Exit long,2017-05-09 19:00,Exit Long Trailing,20988,47.6,999314.4,-285.6,-0.03,47.6,0.00,-285.6,-0.03,947.3,0.09
29,Entry long,2017-05-09 18:50,Long,20994,47.6,999314.4,-285.6,-0.03,47.6,0.00,-285.6,-0.03,947.3,0.09
30,Exit long,2017-05-09 19:40,Exit Long Trailing,20952,47.7,1000125.9,-715.5,-0.07,47.7,0.00,-1097.1,-0.11,231.8,0.02
30,Entry long,2017-05-09 19:35,Long,20967,47.7,1000125.9,-715.5,-0.07,47.7,0.00,-1097.1,-0.11,231.8,0.02
31,Exit long,2017-05-10 07:30,Exit Long Trailing,20913,47.8,1000167.2,-525.8,-0.05,143.4,0.01,-525.8,-0.05,-294,-0.03
31,Entry long,2017-05-10 07:05,Long,20924,47.8,1000167.2,-525.8,-0.05,143.4,0.01,-525.8,-0.05,-294,-0.03
32,Exit long,2017-05-10 08:25,Exit Long Trailing,20895,47.8,998733.2,47.8,0.00,95.6,0.01,0,0.00,-246.2,-0.02
32,Entry long,2017-05-10 08:20,Long,20894,47.8,998733.2,47.8,0.00,95.6,0.01,0,0.00,-246.2,-0.02
33,Exit long,2017-05-10 11:45,Exit Long Trailing,20902,47.8,998876.6,239,0.02,239,0.02,0,0.00,-7.2,0.00
33,Entry long,2017-05-10 11:40,Long,20897,47.8,998876.6,239,0.02,239,0.02,0,0.00,-7.2,0.00
34,Exit short,2017-05-10 18:15,Exit Short Trailing,20942,47.7,999171.9,238.5,0.02,1001.7,0.10,-95.4,-0.01,231.3,0.02
34,Entry short,2017-05-10 17:10,Short,20947,47.7,999171.9,238.5,0.02,1001.7,0.10,-95.4,-0.01,231.3,0.02
35,Exit short,2017-05-10 19:45,Exit Short Trailing,20940,47.7,998647.2,-190.8,-0.02,0,0.00,-238.5,-0.02,40.5,0.00
35,Entry short,2017-05-10 19:40,Short,20936,47.7,998647.2,-190.8,-0.02,0,0.00,-238.5,-0.02,40.5,0.00
36,Exit long,2017-05-11 09:25,Exit Long Trailing,20906,47.8,999354.6,-47.8,0.00,47.8,0.00,-47.8,0.00,-7.3,0.00
36,Entry long,2017-05-11 09:20,Long,20907,47.8,999354.6,-47.8,0.00,47.8,0.00,-47.8,0.00,-7.3,0.00
37,Exit long,2017-05-11 11:40,Exit Long Trailing,20905,47.8,999306.8,-47.8,0.00,286.8,0.03,-47.8,0.00,-55.1,-0.01
37,Entry long,2017-05-11 11:15,Long,20906,47.8,999306.8,-47.8,0.00,286.8,0.03,-47.8,0.00,-55.1,-0.01
38,Exit long,2017-05-11 11:50,Exit Long Trailing,20890,47.8,999163.4,-621.4,-0.06,0,0.00,-669.2,-0.07,-676.5,-0.07
38,Entry long,2017-05-11 11:45,Long,20903,47.8,999163.4,-621.4,-0.06,0,0.00,-669.2,-0.07,-676.5,-0.07
39,Exit long,2017-05-11 13:40,Exit Long Trailing,20896,47.7,997597.8,-858.6,-0.09,95.4,0.01,-858.6,-0.09,-1535.1,-0.15
39,Entry long,2017-05-11 13:35,Long,20914,47.7,997597.8,-858.6,-0.09,95.4,0.01,-858.6,-0.09,-1535.1,-0.15
40,Exit long,2017-05-11 13:55,Exit Long Trailing,20840,47.8,997538.2,-1386.2,-0.14,0,0.00,-1481.8,-0.15,-2921.3,-0.29
40,Entry long,2017-05-11 13:50,Long,20869,47.8,997538.2,-1386.2,-0.14,0,0.00,-1481.8,-0.15,-2921.3,-0.29
41,Exit short,2017-05-15 08:55,Exit Short Trailing,20935,47.6,996553.6,47.6,0.00,95.2,0.01,-47.6,0.00,-2873.7,-0.29
41,Entry short,2017-05-15 08:50,Short,20936,47.6,996553.6,47.6,0.00,95.2,0.01,-47.6,0.00,-2873.7,-0.29
42,Exit short,2017-05-15 10:20,Exit Short Trailing,20915,47.6,995363.6,-190.4,-0.02,333.2,0.03,-190.4,-0.02,-3064.1,-0.31
42,Entry short,2017-05-15 09:20,Short,20911,47.6,995363.6,-190.4,-0.02,333.2,0.03,-190.4,-0.02,-3064.1,-0.31
43,Exit short,2017-05-15 14:15,Exit Short Trailing,20972,47.5,996265,95,0.01,332.5,0.03,0,0.00,-2969.1,-0.30
43,Entry short,2017-05-15 14:10,Short,20974,47.5,996265,95,0.01,332.5,0.03,0,0.00,-2969.1,-0.30
44,Exit short,2017-05-15 16:45,Exit Short Trailing,20981,47.5,996597.5,0,0.00,95,0.01,-47.5,0.00,-2969.1,-0.30
44,Entry short,2017-05-15 16:40,Short,20981,47.5,996597.5,0,0.00,95,0.01,-47.5,0.00,-2969.1,-0.30
45,Exit short,2017-05-15 19:45,Exit Short Trailing,20976,47.5,995980,-380,-0.04,95,0.01,-427.5,-0.04,-3349.1,-0.33
45,Entry short,2017-05-15 18:30,Short,20968,47.5,995980,-380,-0.04,95,0.01,-427.5,-0.04,-3349.1,-0.33
46,Exit long,2017-05-17 07:10,Exit Long Trailing,20837,47.8,995769.6,239,0.02,525.8,0.05,0,0.00,-3110.1,-0.31
46,Entry long,2017-05-17 07:05,Long,20832,47.8,995769.6,239,0.02,525.8,0.05,0,0.00,-3110.1,-0.31
47,Exit long,2017-05-17 08:50,Exit Long Trailing,20860,47.7,995642.1,-620.1,-0.06,143.1,0.01,-620.1,-0.06,-3730.2,-0.37
47,Entry long,2017-05-17 08:15,Long,20873,47.7,995642.1,-620.1,-0.06,143.1,0.01,-620.1,-0.06,-3730.2,-0.37
48,Exit long,2017-05-17 09:00,Exit Long Trailing,20856,47.7,994926.6,-95.4,-0.01,0,0.00,-190.8,-0.02,-3825.6,-0.38
48,Entry long,2017-05-17 08:55,Long,20858,47.7,994926.6,-95.4,-0.01,0,0.00,-190.8,-0.02,-3825.6,-0.38
49,Exit long,2017-05-17 10:30,Exit Long Trailing,20870,47.7,994688.1,810.9,0.08,810.9,0.08,-95.4,-0.01,-3014.7,-0.30
49,Entry long,2017-05-17 10:20,Long,20853,47.7,994688.1,810.9,0.08,810.9,0.08,-95.4,-0.01,-3014.7,-0.30
50,Exit long,2017-05-17 15:00,Exit Long Trailing,20699,48.1,995814.3,-192.4,-0.02,0,0.00,-432.9,-0.04,-3207.1,-0.32
50,Entry long,2017-05-17 14:55,Long,20703,48.1,995814.3,-192.4,-0.02,0,0.00,-432.9,-0.04,-3207.1,-0.32
51,Exit long,2017-05-17 19:50,Exit Long Trailing,20637,48.2,994799.8,-96.4,-0.01,385.6,0.04,-674.8,-0.07,-3303.5,-0.33
51,Entry long,2017-05-17 19:45,Long,20639,48.2,994799.8,-96.4,-0.01,385.6,0.04,-674.8,-0.07,-3303.5,-0.33
52,Exit long,2017-05-18 07:00,Exit Long Trailing,20664,48.3,995511.3,2559.9,0.26,2559.9,0.26,-434.7,-0.04,-743.6,-0.07
52,Entry long,2017-05-17 20:55,Long,20611,48.3,995511.3,2559.9,0.26,2559.9,0.26,-434.7,-0.04,-743.6,-0.07
53,Exit long,2017-05-18 07:10,Exit Long Trailing,20660,48.3,997684.8,193.2,0.02,434.7,0.04,-48.3,0.00,-550.4,-0.06
53,Entry long,2017-05-18 07:05,Long,20656,48.3,997684.8,193.2,0.02,434.7,0.04,-48.3,0.00,-550.4,-0.06
54,Exit long,2017-05-18 12:15,Exit Long Trailing,20548,48.6,999070.2,-437.4,-0.04,1117.8,0.11,-437.4,-0.04,-987.8,-0.10
54,Entry long,2017-05-18 11:20,Long,20557,48.6,999070.2,-437.4,-0.04,1117.8,0.11,-437.4,-0.04,-987.8,-0.10
55,Exit short,2017-05-18 19:55,Exit Short Trailing,20688,48.2,997836.4,674.8,0.07,674.8,0.07,-337.4,-0.03,-313,-0.03
55,Entry short,2017-05-18 19:50,Short,20702,48.2,997836.4,674.8,0.07,674.8,0.07,-337.4,-0.03,-313,-0.03
56,Exit short,2017-05-19 16:05,Exit Short Trailing,20801,48,998208,-240,-0.02,0,0.00,-576,-0.06,-553,-0.06
56,Entry short,2017-05-19 16:00,Short,20796,48,998208,-240,-0.02,0,0.00,-576,-0.06,-553,-0.06
57,Exit short,2017-05-19 16:50,Exit Short Trailing,20829,47.9,997709.1,0,0.00,383.2,0.04,-47.9,0.00,-553,-0.06
57,Entry short,2017-05-19 16:35,Short,20829,47.9,997709.1,0,0.00,383.2,0.04,-47.9,0.00,-553,-0.06
58,Exit short,2017-05-22 07:00,Exit Short Trailing,20847,48,998496,-2160,-0.22,1104,0.11,-2160,-0.22,-2713,-0.27
58,Entry short,2017-05-19 19:10,Short,20802,48,998496,-2160,-0.22,1104,0.11,-2160,-0.22,-2713,-0.27
59,Exit long,2017-05-26 10:45,Exit Long Trailing,21065,47.3,996327.2,47.3,0.00,94.6,0.01,-94.6,-0.01,-2665.7,-0.27
59,Entry long,2017-05-26 10:40,Long,21064,47.3,996327.2,47.3,0.00,94.6,0.01,-94.6,-0.01,-2665.7,-0.27
60,Exit long,2017-05-26 11:30,Exit Long Trailing,21045,47.3,995901.5,-473,-0.05,0,0.00,-520.3,-0.05,-3138.7,-0.31
60,Entry long,2017-05-26 11:25,Long,21055,47.3,995901.5,-473,-0.05,0,0.00,-520.3,-0.05,-3138.7,-0.31
61,Exit long,2017-05-26 13:40,Exit Long Trailing,21057,47.3,996327.2,-331.1,-0.03,1182.5,0.12,-331.1,-0.03,-3469.8,-0.35
61,Entry long,2017-05-26 12:35,Long,21064,47.3,996327.2,-331.1,-0.03,1182.5,0.12,-331.1,-0.03,-3469.8,-0.35
62,Exit short,2017-05-30 07:00,Exit Short Trailing,21057,47.2,995684,1793.6,0.18,1793.6,0.18,-141.6,-0.01,-1676.2,-0.17
62,Entry short,2017-05-29 14:35,Short,21095,47.2,995684,1793.6,0.18,1793.6,0.18,-141.6,-0.01,-1676.2,-0.17
63,Exit long,2017-05-30 11:00,Exit Long Trailing,21051,47.4,997817.4,0,0.00,0,0.00,-94.8,-0.01,-1676.2,-0.17
63,Entry long,2017-05-30 10:55,Long,21051,47.4,997817.4,0,0.00,0,0.00,-94.8,-0.01,-1676.2,-0.17
64,Exit long,2017-05-30 12:05,Exit Long Trailing,21032,47.4,996822,94.8,0.01,189.6,0.02,-94.8,-0.01,-1581.4,-0.16
64,Entry long,2017-05-30 12:00,Long,21030,47.4,996822,94.8,0.01,189.6,0.02,-94.8,-0.01,-1581.4,-0.16
65,Exit long,2017-05-30 14:00,Exit Long Trailing,21038,47.4,998007,-805.8,-0.08,426.6,0.04,-805.8,-0.08,-2387.2,-0.24
65,Entry long,2017-05-30 13:40,Long,21055,47.4,998007,-805.8,-0.08,426.6,0.04,-805.8,-0.08,-2387.2,-0.24
66,Exit short,2017-05-31 13:05,Exit Short Trailing,21061,47.3,995901.5,-283.8,-0.03,47.3,0.00,-283.8,-0.03,-2671,-0.27
66,Entry short,2017-05-31 12:55,Short,21055,47.3,995901.5,-283.8,-0.03,47.3,0.00,-283.8,-0.03,-2671,-0.27
67,Exit long,2017-05-31 13:40,Exit Long Trailing,21025,47.4,996679.8,-94.8,-0.01,47.4,0.00,-474,-0.05,-2765.8,-0.28
67,Entry long,2017-05-31 13:35,Long,21027,47.4,996679.8,-94.8,-0.01,47.4,0.00,-474,-0.05,-2765.8,-0.28
68,Exit long,2017-06-01 11:20,Exit Long Trailing,21002,47.4,995400,94.8,0.01,379.2,0.04,-94.8,-0.01,-2671,-0.27
68,Entry long,2017-06-01 11:15,Long,21000,47.4,995400,94.8,0.01,379.2,0.04,-94.8,-0.01,-2671,-0.27
69,Exit short,2017-06-01 12:25,Exit Short Trailing,21020,47.4,996063.6,-284.4,-0.03,47.4,0.00,-474,-0.05,-2955.4,-0.30
69,Entry short,2017-06-01 12:20,Short,21014,47.4,996063.6,-284.4,-0.03,47.4,0.00,-474,-0.05,-2955.4,-0.30
70,Exit short,2017-06-01 15:15,Exit Short Trailing,21042,47.3,995097.4,-189.2,-0.02,47.3,0.00,-283.8,-0.03,-3144.6,-0.31
70,Entry short,2017-06-01 15:10,Short,21038,47.3,995097.4,-189.2,-0.02,47.3,0.00,-283.8,-0.03,-3144.6,-0.31
71,Exit short,2017-06-01 16:40,Exit Short Trailing,21068,47.3,996421.8,-94.6,-0.01,94.6,0.01,-94.6,-0.01,-3239.2,-0.32
71,Entry short,2017-06-01 16:35,Short,21066,47.3,996421.8,-94.6,-0.01,94.6,0.01,-94.6,-0.01,-3239.2,-0.32
72,Exit short,2017-06-01 17:15,Exit Short Trailing,21110,47.2,996108.8,-283.2,-0.03,94.4,0.01,-330.4,-0.03,-3522.4,-0.35
72,Entry short,2017-06-01 17:10,Short,21104,47.2,996108.8,-283.2,-0.03,94.4,0.01,-330.4,-0.03,-3522.4,-0.35
73,Exit short,2017-06-02 07:15,Exit Short Trailing,21207,46.9,994326.9,-281.4,-0.03,234.5,0.02,-281.4,-0.03,-3803.8,-0.38
73,Entry short,2017-06-02 07:10,Short,21201,46.9,994326.9,-281.4,-0.03,234.5,0.02,-281.4,-0.03,-3803.8,-0.38
74,Exit short,2017-06-02 08:20,Exit Short Trailing,21195,47,996024,-141,-0.01,611,0.06,-141,-0.01,-3944.8,-0.39
74,Entry short,2017-06-02 07:55,Short,21192,47,996024,-141,-0.01,611,0.06,-141,-0.01,-3944.8,-0.39
75,Exit short,2017-06-02 09:45,Exit Short Trailing,21199,46.9,994280,46.9,0.00,281.4,0.03,-46.9,0.00,-3897.9,-0.39
75,Entry short,2017-06-02 09:40,Short,21200,46.9,994280,46.9,0.00,281.4,0.03,-46.9,0.00,-3897.9,-0.39
76,Exit short,2017-06-02 10:45,Exit Short Trailing,21216,46.9,995077.3,46.9,0.00,93.8,0.01,-140.7,-0.01,-3851,-0.39
76,Entry short,2017-06-02 10:40,Short,21217,46.9,995077.3,46.9,0.00,93.8,0.01,-140.7,-0.01,-3851,-0.39
77,Exit long,2017-06-05 13:30,Exit Long Trailing,21192,46.9,994139.3,-234.5,-0.02,187.6,0.02,-234.5,-0.02,-4085.5,-0.41
77,Entry long,2017-06-05 13:15,Long,21197,46.9,994139.3,-234.5,-0.02,187.6,0.02,-234.5,-0.02,-4085.5,-0.41
78,Exit short,2017-06-05 18:45,Exit Short Trailing,21206,46.9,994467.6,-93.8,-0.01,422.1,0.04,-140.7,-0.01,-4179.3,-0.42
78,Entry short,2017-06-05 17:35,Short,21204,46.9,994467.6,-93.8,-0.01,422.1,0.04,-140.7,-0.01,-4179.3,-0.42
79,Exit long,2017-06-06 07:10,Exit Long Trailing,21162,47,994097,517,0.05,658,0.07,-47,0.00,-3662.3,-0.37
79,Entry long,2017-06-06 07:05,Long,21151,47,994097,517,0.05,658,0.07,-47,0.00,-3662.3,-0.37
80,Exit long,2017-06-06 11:30,Exit Long Trailing,21130,47.1,995411.4,-188.4,-0.02,94.2,0.01,-235.5,-0.02,-3850.7,-0.39
80,Entry long,2017-06-06 11:25,Long,21134,47.1,995411.4,-188.4,-0.02,94.2,0.01,-235.5,-0.02,-3850.7,-0.39
81,Exit long,2017-06-06 13:05,Exit Long Trailing,21139,47.1,996023.7,-376.8,-0.04,0,0.00,-376.8,-0.04,-4227.5,-0.42
81,Entry long,2017-06-06 12:35,Long,21147,47.1,996023.7,-376.8,-0.04,0,0.00,-376.8,-0.04,-4227.5,-0.42
82,Exit long,2017-06-06 13:20,Exit Long Trailing,21135,47.1,995552.7,-94.2,-0.01,94.2,0.01,-141.3,-0.01,-4321.7,-0.43
82,Entry long,2017-06-06 13:10,Long,21137,47.1,995552.7,-94.2,-0.01,94.2,0.01,-141.3,-0.01,-4321.7,-0.43
83,Exit long,2017-06-06 14:35,Exit Long Trailing,21158,47,994238,188,0.02,1504,0.15,-282,-0.03,-4133.7,-0.41
83,Entry long,2017-06-06 13:45,Long,21154,47,994238,188,0.02,1504,0.15,-282,-0.03,-4133.7,-0.41
84,Exit short,2017-06-07 11:55,Exit Short Trailing,21173,47,994990,-141,-0.01,188,0.02,-235,-0.02,-4274.7,-0.43
84,Entry short,2017-06-07 11:50,Short,21170,47,994990,-141,-0.01,188,0.02,-235,-0.02,-4274.7,-0.43
85,Exit short,2017-06-07 13:45,Exit Short Trailing,21178,47,995460,94,0.01,329,0.03,-235,-0.02,-4180.7,-0.42
85,Entry short,2017-06-07 13:40,Short,21180,47,995460,94,0.01,329,0.03,-235,-0.02,-4180.7,-0.42
86,Exit short,2017-06-07 14:40,Exit Short Trailing,21148,47,995178,1222,0.12,1222,0.12,-47,0.00,-2958.7,-0.30
86,Entry short,2017-06-07 14:30,Short,21174,47,995178,1222,0.12,1222,0.12,-47,0.00,-2958.7,-0.30
87,Exit long,2017-06-07 16:55,Exit Long Trailing,21131,47.1,995646.9,-376.8,-0.04,0,0.00,-989.1,-0.10,-3335.5,-0.33
87,Entry long,2017-06-07 16:50,Long,21139,47.1,995646.9,-376.8,-0.04,0,0.00,-989.1,-0.10,-3335.5,-0.33
88,Exit short,2017-06-07 18:05,Exit Short Trailing,21175,47,994990,-235,-0.02,188,0.02,-376,-0.04,-3570.5,-0.36
88,Entry short,2017-06-07 18:00,Short,21170,47,994990,-235,-0.02,188,0.02,-376,-0.04,-3570.5,-0.36
89,Exit short,2017-06-07 19:45,Exit Short Trailing,21187,47,995319,-470,-0.05,141,0.01,-611,-0.06,-4040.5,-0.40
89,Entry short,2017-06-07 19:40,Short,21177,47,995319,-470,-0.05,141,0.01,-611,-0.06,-4040.5,-0.40
90,Exit short,2017-06-08 10:25,Exit Short Trailing,21203,46.9,994655.2,234.5,0.02,281.4,0.03,0,0.00,-3806,-0.38
90,Entry short,2017-06-08 10:20,Short,21208,46.9,994655.2,234.5,0.02,281.4,0.03,0,0.00,-3806,-0.38
91,Exit short,2017-06-08 11:40,Exit Short Trailing,21205,46.9,994561.4,46.9,0.00,422.1,0.04,-46.9,0.00,-3759.1,-0.38
91,Entry short,2017-06-08 11:20,Short,21206,46.9,994561.4,46.9,0.00,422.1,0.04,-46.9,0.00,-3759.1,-0.38
92,Exit short,2017-06-08 12:45,Exit Short Trailing,21169,47,996118,1175,0.12,1175,0.12,-94,-0.01,-2584.1,-0.26
92,Entry short,2017-06-08 11:50,Short,21194,47,996118,1175,0.12,1175,0.12,-94,-0.01,-2584.1,-0.26
93,Exit short,2017-06-08 16:25,Exit Short Trailing,21259,46.9,996671.9,-375.2,-0.04,46.9,0.00,-1219.4,-0.12,-2959.3,-0.30
93,Entry short,2017-06-08 16:20,Short,21251,46.9,996671.9,-375.2,-0.04,46.9,0.00,-1219.4,-0.12,-2959.3,-0.30
94,Exit short,2017-06-08 17:25,Exit Short Trailing,21208,46.9,995827.7,1172.5,0.12,1172.5,0.12,-234.5,-0.02,-1786.8,-0.18
94,Entry short,2017-06-08 17:15,Short,21233,46.9,995827.7,1172.5,0.12,1172.5,0.12,-234.5,-0.02,-1786.8,-0.18
95,Exit short,2017-06-09 10:15,Exit Short Trailing,21234,47,997716,-282,-0.03,94,0.01,-282,-0.03,-2068.8,-0.21
95,Entry short,2017-06-09 09:40,Short,21228,47,997716,-282,-0.03,94,0.01,-282,-0.03,-2068.8,-0.21
96,Exit short,2017-06-09 10:30,Exit Short Trailing,21236,46.9,995921.5,-46.9,0.00,140.7,0.01,-46.9,0.00,-2115.7,-0.21
96,Entry short,2017-06-09 10:20,Short,21235,46.9,995921.5,-46.9,0.00,140.7,0.01,-46.9,0.00,-2115.7,-0.21
97,Exit short,2017-06-09 11:30,Exit Short Trailing,21225,47,997434,-141,-0.01,376,0.04,-188,-0.02,-2256.7,-0.23
97,Entry short,2017-06-09 10:45,Short,21222,47,997434,-141,-0.01,376,0.04,-188,-0.02,-2256.7,-0.23
98,Exit short,2017-06-09 13:50,Exit Short Trailing,21255,46.9,996484.3,-375.2,-0.04,46.9,0.00,-609.7,-0.06,-2631.9,-0.26
98,Entry short,2017-06-09 13:45,Short,21247,46.9,996484.3,-375.2,-0.04,46.9,0.00,-609.7,-0.06,-2631.9,-0.26
